# WAIS Divide WDC06A Core Density, clean version, 0 to 160 m
# Data collected by Daniel J. Breton using MADGE on 3x3x100 cm core sticks
# MADGE paper: www.igsoc.org/journal/55/194/t09J008.pdf
###############################################################################
# This is the CLEAN version of the data, meaning that most core breaks
# and core ends have been REMOVED from this dataset.  This dataset IS NOT
# recommended for accumulation rate studies because the core breaks / ends, 
# even though they appear as low density measurements, still accurately 
# represent additional accumulated mass at the site.
###############################################################################

Depth	Density
2.283	0.481
2.286	0.4688
2.289	0.47414
2.293	0.47155
2.296	0.47666
2.3	0.47185
2.303	0.47757
2.306	0.47675
2.31	0.47466
2.313	0.47151
2.316	0.45917
2.32	0.45826
2.323	0.44939
2.326	0.42288
2.33	0.44274
2.333	0.43553
2.337	0.45886
2.34	0.45129
2.343	0.44574
2.347	0.43173
2.35	0.47564
2.353	0.44247
2.357	0.44117
2.36	0.4584
2.364	0.43156
2.367	0.46937
2.37	0.46557
2.374	0.45686
2.377	0.46959
2.381	0.46471
2.384	0.47132
2.387	0.46602
2.391	0.47456
2.394	0.45433
2.397	0.45599
2.401	0.47179
2.404	0.47495
2.408	0.47419
2.411	0.46367
2.414	0.47526
2.418	0.47097
2.421	0.47043
2.425	0.47207
2.428	0.47096
2.431	0.41849
2.435	0.45244
2.438	0.45555
2.441	0.46789
2.445	0.43085
2.448	0.49543
2.451	0.49428
2.455	0.49689
2.458	0.48111
2.462	0.47113
2.465	0.44004
2.468	0.42731
2.472	0.42744
2.475	0.43501
2.478	0.44583
2.482	0.46074
2.485	0.43991
2.489	0.43674
2.492	0.44182
2.495	0.44233
2.499	0.43499
2.502	0.44649
2.506	0.45047
2.509	0.46421
2.512	0.46232
2.516	0.45598
2.519	0.47874
2.522	0.45392
2.526	0.43731
2.529	0.45747
2.533	0.50901
2.536	0.46949
2.539	0.45081
2.543	0.467
2.546	0.46573
2.549	0.4723
2.553	0.45269
2.556	0.46352
2.559	0.43857
2.563	0.45389
2.566	0.44604
2.57	0.44137
2.573	0.45079
2.576	0.46221
2.58	0.45628
2.583	0.43324
2.587	0.45105
2.59	0.45826
2.593	0.44665
2.597	0.44969
2.6	0.45332
2.603	0.43587
2.607	0.45367
2.61	0.44847
2.614	0.48418
2.617	0.48086
2.62	0.48206
2.624	0.47577
2.627	0.43587
2.631	0.44002
2.634	0.465
2.637	0.48245
2.641	0.47052
2.644	0.47312
2.647	0.47608
2.651	0.47442
2.654	0.47271
2.658	0.47837
2.661	0.49652
2.664	0.48069
2.668	0.4835
2.671	0.46559
2.674	0.49182
2.678	0.47719
2.681	0.48177
2.684	0.47381
2.688	0.47136
2.691	0.47884
2.695	0.46733
2.698	0.46805
2.701	0.45591
2.705	0.45057
2.708	0.4766
2.712	0.47846
2.715	0.47973
2.718	0.4552
2.728	0.4676
2.732	0.4625
2.735	0.48208
2.739	0.48089
2.742	0.47763
2.745	0.46729
2.749	0.47523
2.752	0.47694
2.755	0.47423
2.759	0.48148
2.762	0.49079
2.765	0.48594
2.769	0.46687
2.772	0.4631
2.776	0.48573
2.779	0.47375
2.782	0.48466
2.786	0.48186
2.789	0.49179
2.793	0.48523
2.796	0.49595
2.799	0.48852
2.803	0.47713
2.806	0.45767
2.809	0.48868
2.813	0.47994
2.816	0.47794
2.82	0.48268
2.823	0.48537
2.826	0.48741
2.83	0.48366
2.833	0.48152
2.837	0.4757
2.84	0.483
2.843	0.48219
2.847	0.4819
2.85	0.47659
2.853	0.47049
2.857	0.49493
2.864	0.42632
2.867	0.44917
2.87	0.45414
2.874	0.44668
2.877	0.465
2.88	0.4461
2.884	0.43216
2.887	0.43062
2.89	0.50491
2.894	0.49274
2.897	0.48767
2.901	0.48534
2.904	0.48783
2.907	0.49512
2.911	0.49279
2.914	0.4808
2.917	0.49256
2.921	0.4953
2.924	0.48935
2.928	0.4762
2.931	0.49928
2.934	0.49165
2.938	0.49789
2.941	0.48845
2.945	0.49602
2.948	0.49112
2.951	0.48471
2.955	0.48426
2.958	0.47133
2.961	0.47536
2.965	0.47073
2.968	0.46651
2.971	0.46624
2.975	0.47137
2.978	0.46931
2.982	0.48416
2.985	0.47483
2.988	0.47394
2.992	0.45247
2.995	0.44987
2.999	0.43907
3.002	0.44224
3.005	0.44712
3.009	0.44907
3.012	0.46125
3.015	0.4517
3.019	0.45441
3.022	0.49983
3.026	0.48388
3.029	0.47946
3.032	0.4823
3.036	0.49061
3.039	0.50399
3.042	0.49592
3.046	0.50089
3.049	0.49247
3.053	0.49141
3.056	0.49415
3.059	0.49749
3.063	0.49754
3.066	0.49914
3.07	0.48573
3.073	0.49284
3.076	0.49468
3.08	0.49291
3.083	0.50621
3.086	0.50254
3.09	0.4782
3.093	0.47838
3.096	0.46412
3.097	0.40914
3.1	0.46812
3.101	0.4763
3.103	0.46316
3.104	0.47943
3.107	0.4722
3.107	0.47093
3.111	0.49709
3.114	0.49444
3.117	0.48448
3.121	0.49141
3.124	0.4712
3.127	0.46384
3.131	0.49298
3.134	0.49561
3.137	0.50247
3.141	0.49587
3.144	0.49813
3.147	0.49211
3.151	0.52695
3.154	0.48149
3.157	0.48841
3.16	0.48742
3.164	0.4857
3.167	0.48653
3.171	0.4963
3.174	0.49474
3.177	0.49239
3.18	0.49316
3.184	0.48669
3.187	0.48992
3.191	0.49825
3.194	0.48863
3.197	0.49399
3.2	0.49222
3.204	0.4909
3.207	0.46718
3.21	0.46617
3.214	0.47553
3.217	0.47637
3.22	0.48601
3.224	0.44397
3.227	0.48508
3.23	0.4854
3.234	0.47731
3.237	0.47553
3.24	0.47057
3.244	0.46512
3.247	0.48215
3.25	0.46213
3.254	0.47437
3.257	0.47545
3.26	0.47943
3.264	0.47553
3.267	0.47147
3.27	0.48126
3.274	0.47686
3.277	0.48657
3.28	0.48776
3.284	0.49504
3.287	0.50189
3.29	0.49073
3.294	0.49544
3.297	0.49175
3.3	0.48545
3.304	0.46325
3.307	0.47465
3.31	0.4605
3.314	0.46688
3.317	0.48725
3.32	0.47618
3.324	0.44966
3.327	0.48302
3.33	0.46152
3.337	0.50221
3.34	0.48046
3.344	0.48141
3.347	0.46208
3.35	0.48058
3.353	0.49332
3.357	0.4802
3.36	0.48772
3.364	0.4823
3.367	0.47877
3.37	0.47759
3.373	0.49296
3.377	0.481
3.38	0.47854
3.383	0.48146
3.387	0.49235
3.39	0.4895
3.393	0.50099
3.397	0.49066
3.4	0.49278
3.403	0.49546
3.407	0.49959
3.41	0.49157
3.413	0.49597
3.417	0.49123
3.42	0.49574
3.423	0.47303
3.427	0.47927
3.43	0.46843
3.433	0.48016
3.437	0.46614
3.44	0.48918
3.443	0.48273
3.447	0.48549
3.45	0.46943
3.453	0.47297
3.457	0.49771
3.46	0.48914
3.463	0.4963
3.467	0.48404
3.47	0.49197
3.473	0.48422
3.477	0.5109
3.48	0.51912
3.483	0.51742
3.486	0.48619
3.49	0.52255
3.493	0.4989
3.497	0.51063
3.5	0.50369
3.503	0.4886
3.506	0.49671
3.51	0.50223
3.513	0.50702
3.517	0.48112
3.52	0.48177
3.523	0.4837
3.526	0.49079
3.53	0.49739
3.533	0.47708
3.536	0.4782
3.54	0.47565
3.543	0.49165
3.546	0.4995
3.55	0.50404
3.553	0.48431
3.556	0.49818
3.56	0.49157
3.563	0.5066
3.566	0.49594
3.57	0.49337
3.573	0.47658
3.576	0.48693
3.58	0.4991
3.583	0.42552
3.586	0.46604
3.59	0.491
3.593	0.48624
3.596	0.47784
3.6	0.47522
3.603	0.49866
3.606	0.47861
3.61	0.50376
3.613	0.47471
3.616	0.46287
3.62	0.46626
3.623	0.46111
3.626	0.47567
3.63	0.45047
3.633	0.49494
3.636	0.49619
3.64	0.50106
3.643	0.47809
3.646	0.49083
3.65	0.48214
3.653	0.48456
3.656	0.49612
3.659	0.48523
3.663	0.48205
3.666	0.45916
3.67	0.46262
3.673	0.48125
3.676	0.46252
3.679	0.46505
3.683	0.43774
3.686	0.48439
3.689	0.46178
3.693	0.46883
3.696	0.46722
3.7	0.47907
3.703	0.47225
3.706	0.49281
3.709	0.44454
3.713	0.48443
3.716	0.46537
3.719	0.47284
3.723	0.48048
3.726	0.46226
3.729	0.47051
3.733	0.47416
3.736	0.47378
3.739	0.47924
3.743	0.49527
3.746	0.46347
3.749	0.48898
3.753	0.48105
3.756	0.47747
3.759	0.43854
3.763	0.47843
3.766	0.4799
3.769	0.49704
3.773	0.48697
3.776	0.47564
3.779	0.48465
3.783	0.44396
3.786	0.44752
3.789	0.45314
3.793	0.47363
3.796	0.45577
3.799	0.45331
3.803	0.45465
3.806	0.46064
3.809	0.49431
3.813	0.5048
3.816	0.49648
3.819	0.48427
3.822	0.48379
3.826	0.47792
3.829	0.49056
3.833	0.47747
3.836	0.49909
3.839	0.51231
3.842	0.47839
3.846	0.50367
3.849	0.50011
3.853	0.48576
3.856	0.48157
3.859	0.4816
3.862	0.49144
3.866	0.48306
3.869	0.49346
3.872	0.50287
3.876	0.49966
3.879	0.50395
3.882	0.4935
3.886	0.51533
3.889	0.482
3.892	0.57966
3.896	0.50354
3.899	0.49415
3.902	0.49301
3.906	0.49503
3.909	0.49699
3.912	0.49638
3.916	0.49902
3.919	0.4891
3.922	0.42685
3.926	0.44411
3.929	0.48172
3.932	0.49314
3.936	0.48513
3.939	0.48664
3.942	0.49761
3.946	0.50238
3.949	0.49717
3.952	0.50067
3.956	0.49519
3.959	0.50284
3.962	0.49858
3.966	0.49971
3.969	0.50102
3.972	0.49776
3.976	0.46509
3.979	0.47618
3.982	0.50947
3.986	0.50095
3.989	0.51054
3.992	0.50204
3.995	0.50701
3.999	0.52422
4.002	0.5
4.005	0.49715
4.009	0.49231
4.012	0.48492
4.016	0.49051
4.019	0.50033
4.022	0.49913
4.026	0.51037
4.029	0.50125
4.032	0.48653
4.035	0.51832
4.039	0.50892
4.042	0.51185
4.045	0.5138
4.049	0.50257
4.052	0.48537
4.055	0.49601
4.059	0.49572
4.062	0.49077
4.065	0.4682
4.069	0.48071
4.072	0.4635
4.075	0.46851
4.079	0.46157
4.093	0.46547
4.097	0.45992
4.1	0.43306
4.103	0.44643
4.107	0.45981
4.113	0.43675
4.117	0.46018
4.12	0.4221
4.123	0.43148
4.127	0.43479
4.13	0.44382
4.133	0.46454
4.136	0.43689
